Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Accorroni, Alice; Fraser, Maggie R; Walsh, Phoebe; O'Connor, Antoinette; Cardoso, M Jorge; Fox, Nick C; Sudre, Carole H; Ryan, Natalie S; ",Increased white matter hyperintensity burden on MRI in autosomal dominant familial compared to young onset sporadic Alzheimer’s disease.,Alzheimer's Association International Conference,,,,2022,ALZ
"Brownlee, Wallace J; Tur, Carmen; Manole, Andreea; Psatha, Maria; Eshaghi, Arman; Prados, Ferran; Ourselin, Sebastien; Wheeler-Kingshott, Claudia AM Gandini; Houlden, Henry; Miller, David H; ",HLA-DRB1* 1501 is associated with development of disability and brain MRI abnormalities over the first 15 years after a clinically isolated syndrome,ACTRIMS Forum 2017,,,,2017,ACTRIMS
"Siakallis, Loizos; Sudre, Carole H; Mulholland, Paul; Fersht, Naomi; Rees, Jeremy; Topff, Laurens; Thust, Steffi; Jager, Rolf; Cardoso, M Jorge; Panovska-Griffiths, Jasmina; ",Longitudinal structural and perfusion MRI enhanced by machine learning outperforms standalone modalities and radiological expertise in high-grade glioma surveillance,Neuroradiology,63,12,2047-2056,2021,Springer
"Simpson, Ivor; Arbel, Tal; Precup, Doina; Ribbens, Annemie; Cardoso, M Jorge; ",Bayesian and GrAphical Models for Biomedical Imaging,,,,,2014,Springer
"Charalambous, Thalis; Clayden, Jonathan D; Powell, Elizabeth; Prados, Ferran; Tur, Carmen; Kanber, Baris; Chard, Declan; Ourselin, Sebastien; Wheeler-Kingshott, Claudia AM Gandini; Thompson, Alan J; ",Disrupted principal network organisation in multiple sclerosis relates to disability,Scientific Reports,10,1,3620,2020,Nature Publishing Group UK London
"Keihaninejad, Shiva; Zhang, Hui; Ryan, Natalie; Malone, Ian; Frost, Chris; Cardoso, Manuel; Modat, Marc; Thornton, John; Cash, David; Ourselin, Sebastien; ",IC‐P‐047: White matter tract changes in mild‐to‐moderate Alzheimer's disease revealed by tensor‐based registration analyses of diffusion tensor imaging,Alzheimer's & Dementia,8,4S_Part_1,P31-P32,2012,Wiley Online Library
"Convery, Rhian S; Jiao, Jieqing; Clarke, Mica TM; Moore, Katrina M; Koriath, Carolin AM; Woollacott, Ione OC; Weston, Philip SJ; Gunn, Roger; Rabiner, Ilan; Cash, David M; ",Longitudinal (18F) AV-1451 PET imaging in a patient with frontotemporal dementia due to a Q351R MAPT mutation,"Journal of Neurology, Neurosurgery & Psychiatry",91,1,106-108,2020,BMJ Publishing Group Ltd
"Cortese, Rosa; Magnollay, Lise; De Angelis, Floriana; Tur, Carmen; Prados, Ferran; Ourselin, Sebastien; Yiannakas, Marios; Simone, Isabella Laura; Miller, David; Yousry, Tarek; ",The Central Vein Sign on SWI at 3T MRI Differentiates Multiple Sclerosis from Neuromyelitis Optica (P4. 147),,,,,2016,AAN Enterprises
"Modat, Marc; Daga, Pankaj; Cardoso, M Jorge; Ourselin, Sebastien; Ridgway, Gerard R; Ashburner, John; ",Parametric non-rigid registration using a stationary velocity field,2012 IEEE Workshop on Mathematical Methods in Biomedical Image Analysis,,,145-150,2012,IEEE
"Eaton-Rosen, Zach; Scherrer, Benoit; Melbourne, Andrew; Ourselin, Sebastien; Neil, Jeffrey J; Warfield, Simon K; ",Investigating the maturation of microstructure and radial orientation in the preterm human cortex with diffusion MRI,Neuroimage,162,,65-72,2017,Elsevier
"Salvadó, Gemma; Brugulat-Serrat, Anna; Sudre, Carole H; Grau, Oriol; Falcon, Carles; Cardoso, M Jorge; Barkhof, Frederik; Molinuevo, José Luis; Gispert, Juan Domingo; ",REGIONAL DISTRIBUTION OF WHITE MATTER HYPERINTENSITIES RELATED TO ALZHEIMER'S DISEASE RISK FACTORS IN THE ALFA COHORT,Alzheimer's & Dementia,14,7,P653-P654,2018,
"Vrtovec, Tomaž; Ourselin, Sébastien; Gomes, Lavier; Likar, Boštjan; Pernuš, Franjo; ",Automated generation of curved planar reformations from MR images of the spine,Physics in Medicine & Biology,52,10,2865,2007,IOP Publishing
"Hütel, Michael; Antonelli, Michela; Melbourne, Andrew; Ourselin, Sebastien; ",Hemodynamic matrix factorization for functional magnetic resonance imaging,NeuroImage,231,,117814,2021,Elsevier
"Du, Xiaofei; Kurmann, Thomas; Chang, Ping-Lin; Allan, Maximilian; Ourselin, Sebastien; Sznitman, Raphael; Kelly, John D; Stoyanov, Danail; ",Articulated multi-instrument 2-D pose estimation using fully convolutional networks,IEEE transactions on medical imaging,37,5,1276-1287,2018,IEEE
"Vakharia, Vejay N; Rodionov, Roman; Miserocchi, Anna; McEvoy, Andrew W; O’Keeffe, Aidan; Granados, Alejandro; Shapoori, Shahrzad; Sparks, Rachel; Ourselin, Sebastien; Duncan, John S; ","Comparison of robotic and manual implantation of intracerebral electrodes: a single-centre, single-blinded, randomised controlled trial",Scientific Reports,11,1,17127,2021,Nature Publishing Group UK London
"Zhuang, Xiahai; Arridge, Simon; Hawkes, David J; Ourselin, Sebastien; ",A nonrigid registration framework using spatially encoded mutual information and free-form deformations,IEEE transactions on medical imaging,30,10,1819-1828,2011,IEEE
"Nguyen, Long H; Joshi, Amit D; Drew, David A; Merino, Jordi; Ma, Wenjie; Lo, Chun-Han; Kwon, Sohee; Wang, Kai; Graham, Mark S; Polidori, Lorenzo; ",Self-reported COVID-19 vaccine hesitancy and uptake among participants from different racial and ethnic groups in the United States and United Kingdom,Nature communications,13,1,636,2022,Nature Publishing Group UK London
"Dwyer, GR; Bergeles, Christos; Chadebecq, Francois; Pawar, Vijay; Vander Poorten, Emmanuel; Ourselin, Sebastien; Deprest, Jan; De Coppi, Paolo; Vercauteren, Tom; Stoyanov, Danail; ",Cooperative Control with Distal Manipulation for Fetoscopic Laser Photocoagulation,Joint Workshop on New Technologies for Computer/Robot Assisted Surgery,6,,34-35,2016,KU Leuven
"Bocchetta, Martina; Gordon, Elizabeth; Manning, Emily; Barnes, Josephine; Cash, David M; Espak, Miklos; Thomas, David L; Modat, Marc; Rossor, Martin N; Warren, Jason D; ",Detailed volumetric analysis of the hypothalamus in behavioral variant frontotemporal dementia,Journal of Neurology,262,,2635-2642,2015,Springer
"Jiskoot, Lize C; Bocchetta, Martina; Nicholas, Jennifer M; Cash, David M; Thomas, David; Modat, Marc; Ourselin, Sebastien; Rombouts, Serge ARB; Dopper, Elise GP; Meeter, Lieke H; ",Presymptomatic white matter integrity loss in familial frontotemporal dementia in the GENFI cohort: A cross‐sectional diffusion tensor imaging study,Annals of clinical and translational neurology,5,9,1025-1036,2018,Wiley Online Library
"Roth, Holger; McClelland, Jamie; Boone, Darren; Hu, Mingxing; Ourselin, Sebastien; Slabaugh, Greg; Halligan, Steve; Hawkes, David; Medicsight, P; ",Conformal Mapping of the Inner Colon Surface to a Cylinder for the Application of Prone to Supine Registration,,,,,2010,
"Klaser, Kerstin; Thompson, Ellen J; Nguyen, Long H; Sudre, Carole H; Antonelli, Michela; Murray, Benjamin; Canas, Liane S; Molteni, Erika; Graham, Mark S; Kerfoot, Eric; ",Anxiety and depression symptoms after COVID-19 infection: results from the COVID Symptom Study app (preprint),,,,,2021,
"Xia, Wenfeng; Mosse, Charles A; Colchester, Richard J; Mari, Jean Martial; Nikitichev, Daniil I; West, Simeon J; Ourselin, Sebastien; Beard, Paul C; Desjardins, Adrien E; ",Fiber optic photoacoustic probe with ultrasonic tracking for guiding minimally invasive procedures,European Conference on Biomedical Optics,,,95390K,2015,Optica Publishing Group
"Ourselin, Sebastien; Alexander, Daniel C; Westin, Carl Fredrik; Cardoso, M Jorge; ","Preface. 24th International Conference, IPMI 2015, Sabhal Mor Ostaig, Isle of Skye, UK, June 28-July 3, 2015. Proceedings",Information processing in medical imaging: proceedings of the... conference,24,,V-VII,2015,Springer Verlag
"Borges, Pedro; Shaw, Richard; Varsavsky, Thomas; Klaser, Kerstin; Thomas, David; Drobnjak, Ivana; Ourselin, Sebastien; Cardoso, M Jorge; ",Acquisition-invariant brain MRI segmentation with informative uncertainties,arXiv preprint arXiv:2111.04094,,,,2021,
"Atzeni, Alessia; Jansen, Marnix; Ourselin, Sébastien; Iglesias, Juan Eugenio; ",A probabilistic model combining deep learning and multi-atlas segmentation for semi-automated labelling of histology,"Medical Image Computing and Computer Assisted Intervention–MICCAI 2018: 21st International Conference, Granada, Spain, September 16-20, 2018, Proceedings, Part II 11",,,219-227,2018,Springer
"Kochan, Martin; Daga, Pankaj; Burgos, Ninon; White, Mark; Cardoso, M Jorge; Mancini, Laura; Winston, Gavin P; McEvoy, Andrew W; Thornton, John; Yousry, Tarek; ",Simulated field maps for susceptibility artefact correction in interventional MRI,International journal of computer assisted radiology and surgery,10,,1405-1416,2015,Springer
"Zazzara, Maria Beatrice; Penfold, Rose S; Roberts, Amy L; Lee, Karla A; Dooley, Hannah; Sudre, Carole H; Welch, Carly; Bowyer, Ruth CE; Visconti, Alessia; Mangino, Massimo; ","Probable delirium is a presenting symptom of COVID-19 in frail, older adults: a cohort study of 322 hospitalised and 535 community-based older adults",Age and ageing,50,1,40-48,2021,Oxford University Press
"Cash, David M; Bocchetta, Martina; Thomas, David L; Dick, Katrina M; van Swieten, John C; Borroni, Barbara; Galimberti, Daniela; Masellis, Mario; Tartaglia, Maria Carmela; Rowe, James B; ",Patterns of gray matter atrophy in genetic frontotemporal dementia: results from the GENFI study,Neurobiology of aging,62,,191-196,2018,Elsevier
"Kläser, Kerstin; Varsavsky, Thomas; Markiewicz, Pawel; Vercauteren, Tom; Atkinson, David; Thielemans, Kris; Hutton, Brian; Cardoso, M Jorge; Ourselin, Sébastien; ",Improved MR to CT synthesis for PET/MR attenuation correction using imitation learning,"Simulation and Synthesis in Medical Imaging: 4th International Workshop, SASHIMI 2019, Held in Conjunction with MICCAI 2019, Shenzhen, China, October 13, 2019, Proceedings",,,13-21,2019,Springer
"Rohrer, Jonathan D; Nicholas, Jennifer M; Cash, David M; van Swieten, John; Dopper, Elise; Jiskoot, Lize; van Minkelen, Rick; Rombouts, Serge A; Cardoso, M Jorge; Clegg, Shona; ",Presymptomatic cognitive and neuroanatomical changes in genetic frontotemporal dementia in the Genetic Frontotemporal dementia Initiative (GENFI) study: a cross-sectional analysis,The Lancet Neurology,14,3,253-262,2015,Elsevier
"Arbel, Tal; Cardoso, M Jorge; Chung, Albert CS; Jenkinson, Mark; Ribbens, Annemie; Wells, William M; ",Preface BAMBI 2016,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),10081,,,2017,Springer
"Shi, Wenzhe; Zhuang, Xiahai; Wolz, Robin; Simon, Duckett; Tung, KaiPin; Wang, Haiyan; Ourselin, Sebastien; Edwards, Philip; Razavi, Reza; Rueckert, Daniel; ",A multi-image graph cut approach for cardiac image segmentation and uncertainty estimation,"Statistical Atlases and Computational Models of the Heart. Imaging and Modelling Challenges: Second International Workshop, STACOM 2011, Held in Conjunction with MICCAI 2011, Toronto, ON, Canada, September 22, 2011, Revised Selected Papers 2",,,178-187,2012,Springer
"Garcia Peraza Herrera, Luis C; Horgan, Conor; Ourselin, Sebastien; Ebner, Michael; Vercauteren, Tom; ",Hyperspectral image segmentation: a preliminary study on the Oral and Dental Spectral Image Database (ODSI-DB),Computer Methods in Biomechanics and Biomedical Engineering: Imaging & Visualization,,,1-9,2023,Taylor & Francis
"Ryan, Natalie S; Keihaninejad, Shiva; Shakespeare, Timothy J; Lehmann, Manja; Crutch, Sebastian J; Malone, Ian B; Thornton, John S; Mancini, Laura; Hyare, Harpreet; Yousry, Tarek; ",Magnetic resonance imaging evidence for presymptomatic change in thalamus and caudate in familial Alzheimer’s disease,Brain,136,5,1399-1414,2013,Oxford University Press
"Kujawa, Aaron; Dorent, Reuben; Connor, Steve; Oviedova, Anna; Okasha, Mohamed; Grishchuk, Diana; Ourselin, Sebastien; Paddick, Ian; Kitchen, Neil; Vercauteren, Tom; ",Automated Koos classification of Vestibular Schwannoma,Frontiers in Radiology,,,4,2022,Frontiers
"Thomas, Benjamin A; Erlandsson, Kjell; Reilhac, Anthonin; Bousse, Alexandre; Kazantsev, Daniil; Pedemonte, Stefano; Vunckx, Kathleen; Arridge, Simon; Ourselin, Sebastien; Hutton, Brian F; ",A comparison of the options for brain partial volume correction using PET/MRI,2012 IEEE Nuclear Science Symposium and Medical Imaging Conference Record (NSS/MIC),,,2902-2906,2012,IEEE
"Silva, Mariana Da; Sudre, Carole H; Garcia, Kara; Bass, Cher; Cardoso, M Jorge; Robinson, Emma C; ",Distinguishing Healthy Ageing from Dementia: A Biomechanical Simulation of Brain Atrophy Using Deep Networks,"Machine Learning in Clinical Neuroimaging: 4th International Workshop, MLCN 2021, Held in Conjunction with MICCAI 2021, Strasbourg, France, September 27, 2021, Proceedings 4",,,13-22,2021,Springer
"Sudre, Carole H; Keshet, Ayya; Graham, Mark S; Joshi, Amit D; Shilo, Smadar; Rossman, Hagai; Murray, Benjamin; Molteni, Erika; Klaser, Kerstin; Canas, Liane D; ","Anosmia, ageusia, and other COVID-19-like symptoms in association with a positive SARS-CoV-2 test, across six national digital surveillance platforms: an observational study",The Lancet Digital Health,3,9,e577-e586,2021,Elsevier
"Lötjönen, Jyrki; Ledig, Christian; Koikkalainen, Juha; Wolz, Robin; Thurfjell, Lennart; Soininen, Hilkka; Ourselin, Sébastien; Rueckert, Daniel; ",Extended boundary shift integral,2014 IEEE 11th International Symposium on Biomedical Imaging (ISBI),,,854-857,2014,IEEE
"Roth, H; McClelland, J; Modat, M; Hampshire, T; Boone, D; Hu, M; Ourselin, S; Halligan, S; Hawkes, D; ",WE‐E‐213CD‐03: Inverse‐Consistent Symmetric Registration of Inner Colon Surfaces Derived from Prone and Supine CT Colonography,Medical Physics,39,6Part27,3959-3960,2012,Wiley Online Library
"Manber, Richard; Thielemans, Kris; Hutton, Brian F; Barnes, Anna; Ourselin, Sébastien; Arridge, Simon; O’Meara, Celia; Wan, Simon; Atkinson, David; ",Practical PET respiratory motion correction in clinical PET/MR,Journal of nuclear medicine,56,6,890-896,2015,Soc Nuclear Med
"Eugenio Iglesias, Juan; Modat, Marc; Peter, Loic; Stevens, Allison; Annunziata, Roberto; Vercauteren, Tom; Lein, Ed; Fischl, Bruce; Ourselin, Sebastien; ",Joint registration and synthesis using a probabilistic model for alignment of MRI and histological sections,arXiv e-prints,,,arXiv: 1801.05284,2018,
"Ebner, Michael; Patel, P; Atkinson, David; Caselton, Lucy; Taylor, Stuart; Bainbridge, Alan; Ourselin, Sebastien; Chouhan, Manil; Vercauteren, Tom; ",Reconstruction-based super-resolution for high-resolution abdominal MRI: A preliminary study,,,,,2019,International Society for Magnetic Resonance in Medicine (ISMRM)
"Winston, GP; Daga, P; Stretton, J; Modat, M; Symms, MR; McEvoy, AW; Ourselin, S; Duncan, JS; ",Developing optic radiation tractography to reduce visual field deficits following anterior temporal lobe resection,JOURNAL OF NEUROLOGY,258,,54-54,2011,SPRINGER HEIDELBERG
"Brusaferri, Ludovica; Bousse, Alexandre; Tsai, Yu-Jung; Atkinson, David; Ourselin, Sébastien; Hutton, Brian F; Arridge, Simon; Thielemans, Kris; ",Maximum-likelihood estimation of emission and attenuation images in 3D PET from multiple energy window measurements,2018 IEEE Nuclear Science Symposium and Medical Imaging Conference Proceedings (NSS/MIC),,,1-3,2018,IEEE
"Fidon, Lucas; Aertsen, Michael; Kofler, Florian; Bink, Andrea; David, Anna L; Deprest, Thomas; Emam, Doaa; Guffens, Fr; Jakab, András; Kasprian, Gregor; ",A Dempster-Shafer approach to trustworthy AI with application to fetal brain MRI segmentation,arXiv preprint arXiv:2204.02779,,,,2022,
"Nguyen, Long H; Anyane-Yeboa, Adjoa; Klaser, Kerstin; Merino, Jordi; Drew, David A; Ma, Wenjie; Mehta, Raaj S; Kim, Daniel Y; Warner, Erica T; Joshi, Amit D; ",The mental health burden of racial and ethnic minorities during the COVID-19 pandemic,Plos one,17,8,e0271661,2022,"Public Library of Science San Francisco, CA USA"
"James, Sarah‐Naomi; Parker, Thomas; Lane, Christopher A; Cash, David M; Wong, Andrew; Barnes, Anna; Beasley, Daniel; Burgos, Ninon; Cardoso, M Jorge; Dickson, John; ",[O1–09–05]: MIDLIFE AFFECTIVE SYMPTOMS ARE ASSOCIATED WITH LOWER BRAIN VOLUMES IN LATER LIFE: EVIDENCE FROM A PROSPECTIVE UK BIRTH COHORT,Alzheimer's & Dementia,13,7S_Part_4,P212-P212,2017,Wiley Online Library
"Lorenzi, Marco; Gutman, Boris A; Altmann, Andre; Hibar, Derrek P; Jahanshad, Neda; Alexander, Daniel C; Thompson, Paul M; Ourselin, Sebastien; ",P1‐121: Linking Gene Pathways and Brain Atrophy in Alzheimer's Disease,Alzheimer's & Dementia,12,,P449-P450,2016,Wiley Online Library
"Melbourne, Andrew; Kendall, Giles S; Cardoso, Manuel J; Robertson, Nicola J; Marlow, Neil; Ourselin, Sebastien; ",Analysing the Cortical Folding Pattern of Very Preterm Neonates Scanned at Term-Equivalent Age: Correlations with Diffusion Tensor Tractography,Neuroimage,53,,450-459,2010,
"Pålhaugen, Lene; Sudre, Carole H; Tecelao, Sandra; Nakling, Arne; Almdahl, Ina S; Kalheim, Lisa F; Cardoso, M Jorge; Johnsen, Stein H; Rongve, Arvid; Aarsland, Dag; ",Brain amyloid and vascular risk are related to distinct white matter hyperintensity patterns,Journal of Cerebral Blood Flow & Metabolism,41,5,1162-1174,2021,"SAGE Publications Sage UK: London, England"
"Veiga, C; McClelland, J; Moinuddin, S; Ricketts, K; Modat, M; Ourselin, S; D'Souza, D; Royle, G; ",Towards adaptive radiotherapy for head and neck patients: validation of an in-house deformable registration algorithm,Journal of Physics: Conference Series,489,1,012083,2014,IOP Publishing
"Aughwane, Rosalind; Sokolska, Magdalena; Flouri, Dimitra; Spencer, Rebecca; Maksym, Katarzyna; Mufti, Nada; Bainbridge, Alan; Atkinson, David; Kendall, Giles; Deprest, Jan; ",Placental Perfusion and Fetal Blood Oxygen Saturation Measured with MRI in Normal Pregnancy and Fetal Growth Restriction.,Reproductive Sciences,26,,114A-114A,2019,SAGE Publications Inc.
"Lee, Bryan; Popescu, Dan C; Ourselin, Sébastien; ",Progressive Update Approach to Real-time Cutting of Finite Element Models in Surgical Simulation.,MMVR,,,271-273,2007,
"Oxtoby, Neil P; Young, Alexandra L; Lorenzi, Marco; Cash, David M; Weston, Philip SJ; Ourselin, Sebastien; Fox, Nick C; Schott, Jon M; Alexander, Daniel C; DIAN Study Group; ",P2‐144: Model‐Based Comparison of Autosomal‐Dominant and Late‐Onset Alzheimer's Disease Progression in the Dian and ADNI Studies,Alzheimer's & Dementia,12,,P668-P669,2016,Wiley Online Library
"Lorenzi, Marco; Filippone, Maurizio; Alexander, Daniel C; Ourselin, Sebastien; ",Disease Progression Modeling and Prediction through Random Effect Gaussian Processes and Time Transformation,arXiv preprint arXiv:1701.01668,,,,2017,
"Cash, David; Ridgway, Gerard; Modat, Marc; Ryan, Natalie; Kinnunen, Kirsi; Cardoso, Manuel; Benzinger, Tammie; Jack, Clifford; Raichle, Marc; Marcus, Daniel; ",IC‐P‐078: Dissociating volume and intensity differences in familial Alzheimer's disease,Alzheimer's & Dementia,9,,P46-P47,2013,Wiley Online Library
"De Visser, Hans; Comas, Olivier; Conlan, David; Ourselin, Sébastien; Passenger, Josh; Salvado, Olivier; ",Deforming a high-resolution mesh in real-time by mapping onto a low-resolution physical model,"Biomedical Simulation: 4th International Symposium, ISBMS 2008, London, UK, July 7-8, 2008 Proceedings 4",,,135-146,2008,Springer
"Cardoso, Manuel Jorge; Ourselin, Sebastien; Wolz, Robin; Rueckert, Daniel; ",System and method for annotating images by propagating information,,,,,2017,Google Patents
"Vakharia, Vejay N; Sparks, Rachel; O'Keeffe, Aidan G; Rodionov, Roman; Miserocchi, Anna; McEvoy, Andrew; Ourselin, Sebastien; Duncan, John; ",Accuracy of intracranial electrode placement for stereoelectroencephalography: A systematic review and meta‐analysis,Epilepsia,58,6,921-932,2017,Wiley Online Library
"Ladefoged, Claes N; Law, Ian; Anazodo, Udunna; Lawrence, Keith St; Izquierdo-Garcia, David; Catana, Ciprian; Burgos, Ninon; Cardoso, M Jorge; Ourselin, Sebastien; Hutton, Brian; ",A multi-centre evaluation of eleven clinically feasible brain PET/MRI attenuation correction techniques using a large cohort of patients,Neuroimage,147,,346-359,2017,Elsevier
"Le, Hoang DK; Li, Rongxin; Ourselin, Sébastien; Potter, John; ",A visual dataflow language for image segmentation and registration,"Software and Data Technologies: Second International Conference, ICSOFT/ENASE 2007, Barcelona, Spain, July 22-25, 2007, Revised Selected Papers",,,60-72,2009,Springer
"Holmes, Holly Elizabeth; Ramasawmy, Rajiv; Ma, Da; Powell, Nicholas; Cardoso, Manuel Jorge; Modat, Marc; Walker-Samuel, Simon; Ourselin, Sebastian; Siow, Bernard; Lythgoe, Mark; ",Is 1T the new 9.4 T? A tool for morphological phenotyping and regional brain volume extraction,,,,,,
"Lima, Carlos S; Cardoso, Manuel J; ",Phonocardiogram segmentation by using hidden Markov models,,,,,2007,ACTA Press
"Huen, I; Beckmann, J; Suzuki, Y; Zuluaga, MA; Melbourne, A; van Osch, MJP; Atkinson, D; Ourselin, S; Marlow, N; Golay, X; ",DOES EXTREME PREMATURITY AFFECT ADULT BRAIN VESSEL COMPLIANCE? A PRELIMINARY MRI STUDY,Journal of Cerebral Blood Flow and Metabolism,36,,168-169,2016,
"Cheng, Mario; Taylor, Zeike A; Ourselin, Sébastien; ",Towards anatomical modelling of multiple organs interaction using real time GPU based non-linear elasticity.,Studies in health technology and informatics,132,,77-82,2008,
"Young, Alexandra L; Oxtoby, Neil P; Huang, Jonathan; Marinescu, Razvan V; Daga, Pankaj; Cash, David M; Fox, Nick C; Ourselin, Sebastien; Schott, Jonathan M; Alexander, Daniel C; ",Multiple orderings of events in disease progression,"Information Processing in Medical Imaging: 24th International Conference, IPMI 2015, Sabhal Mor Ostaig, Isle of Skye, UK, June 28-July 3, 2015, Proceedings 24",,,711-722,2015,Springer
"Kinnunen, Kirsi; Ridgway, Gerard; Cash, David; Bastos Leite, António; Finnegan, Sarah; Daga, Pankaj; Cardoso, Manuel; Ryan, Natalie; Espak, Miklos; Rossor, Martin; ",O4–03–06: Abnormalities of fronto‐striato‐thalamic tract structure and effective connectivity in familial Alzheimer's disease,Alzheimer's & Dementia,9,,P685-P687,2013,Wiley Online Library
"Pratt, R; Deprest, J; Vercauteren, T; Ourselin, S; David, ALM; ",Systematic review of 3D fetal image reconstruction for fetal surgical planning and intraoperative guidance,,,,,2015,International Fetal Medicine and Surgery Society Annual Conference
"Bragman, Felix JS; Tanno, Ryutaro; Ourselin, Sebastien; Alexander, Daniel C; Cardoso, M Jorge; ",Supplementary material: Stochastic Filter Groups for Multi-Task CNNs: Learning Specialist and Generalist Convolution Kernels,,,,,,
"Mufti, Nada; Aertsen, Michael; Ebner, Michael; Fidon, Lucas; Patel, Premal; Rahman, Muhamad Bin Abdul; Brackenier, Yannick; Ekart, Gregor; Fernandez, Virginia; Vercauteren, Tom; ",Cortical spectral matching and shape and volume analysis of the fetal brain pre-and post-fetal surgery for spina bifida: a retrospective study,Neuroradiology,63,10,1721-1734,2021,Springer
"Cardoso, M Jorge; Leung, Kelvin K; Nielsen, Casper; Fox, Nick C; ",Automated hippocampal segmentation using similarity and truth estimation for propagated segmentations (STEPS),,,,,,
"Tobon-Gomez, Catalina; De Craene, Mathieu; Mcleod, Kristin; Tautz, Lennart; Shi, Wenzhe; Hennemuth, Anja; Prakosa, Adityo; Wang, Hengui; Carr-White, Gerry; Kapetanakis, Stam; ",Benchmarking framework for myocardial tracking and deformation algorithms: An open access database,Medical image analysis,17,6,632-648,2013,Elsevier
"Fripp, Jurgen; Bourgeat, Pierrick; Raniga, Parnesh; Acosta, Oscar; Villemagne, Victor; Jones, Gareth; O’keefe, Graeme; Rowe, Christopher; Ourselin, Sébastien; Salvado, Olivier; ","MR-less high dimensional spatial normalization of 11C PiB PET images on a population of elderly, mild cognitive impaired and Alzheimer disease patients","Medical Image Computing and Computer-Assisted Intervention–MICCAI 2008: 11th International Conference, New York, NY, USA, September 6-10, 2008, Proceedings, Part I",,,442-449,2008,Springer
"Banerjee, Jyotirmoy; Patel, Premal A; Ushakov, Fred; Peebles, Donald; Deprest, Jan; Ourselin, Sébastien; Hawkes, David; Vercauteren, Tom; ",A log-Euclidean and total variation based variational framework for computational sonography,Medical Imaging 2018: Image Processing,10574,,71-76,2018,SPIE
"Melbourne, Andrew; Eaton-Rosen, Zach; Kendall, Giles; Bainbridge, Alan; Robertson, Nicola J; Marlow, Neil; Ourselin, Sebastien; ",Measurement of the myelin-to-axon diameter g-ratio in very-preterm infants using multi-modal MRI,Proc. Intl. Soc. Mag. Reson. Med,22,,4670,2014,
"Vakharia, Vejay N; Sparks, Rachel; Vos, Sjoerd B; McEvoy, Andrew W; Miserocchi, Anna; Ourselin, Sebastien; Duncan, John S; ",The effect of vascular segmentation methods on stereotactic trajectory planning for drug-resistant focal epilepsy: a retrospective cohort study,World neurosurgery: X,4,,100057,2019,Elsevier
"Nousias, Sotiris; Lourakis, Manolis; Keane, Pearse; Ourselin, Sebastien; Bergeles, Christos; ",A linear approach to absolute pose estimation for light fields,2020 International Conference on 3D Vision (3DV),,,672-681,2020,IEEE
"Rohrer, Jonathan D; Ridgway, Gerard R; Crutch, Sebastian J; Hailstone, Julia; Goll, Johanna C; Clarkson, Matthew J; Mead, Simon; Beck, Jonathan; Mummery, Cath; Ourselin, Sebastien; ",Progressive logopenic/phonological aphasia: erosion of the language network,Neuroimage,49,1,984-993,2010,Elsevier
"Magee, Elliott G; Ourselin, S; Nikitichev, Daniil; Vercauteren, Tom; Vanhoestenberghe, Anne; ",The bionic clicker Mark I & II,Journal of visualized experiments: JoVE,,126,,2017,MyJoVE Corporation
"Bousse, Alexandre; Bertolli, Ottavia; Atkinson, David; Arridge, Simon; Ourselin, Sébastien; Hutton, Brian F; Thielemans, Kris; ",Maximum-likelihood joint image reconstruction/motion estimation in attenuation-corrected respiratory gated PET/CT using a single attenuation map,IEEE transactions on medical imaging,35,1,217-228,2015,IEEE
"Manber, Richard; Atkinson, David; Thielemans, Kris; Hutton, Brian; Barnes, Anna; O'Meara, Celia; Wan, Simon; Ourselin, Sébastien; Arridge, Simon; ",Practical PET respiratory motion correction in clinical simultaneous PET/MR,2015 IEEE 12th International Symposium on Biomedical Imaging (ISBI),,,1580-1583,2015,IEEE
"Molteni, Erika; Astley, Christina M; Ma, Wenjie; Sudre, Carole H; Magee, Laura A; Murray, Benjamin; Fall, Tove; Gomez, Maria F; Tsereteli, Neli; Franks, Paul W; ",Author Correction: Symptoms and syndromes associated with SARS-CoV-2 infection and severity in pregnant women from two community cohorts,Scientific Reports,12,1,6083,2022,Nature Publishing Group UK London
"Molteni, Erika; Sudre, Carole Helene; Canas, Liane Santos; Bhopal, Sunil S; Hughes, Robert C; Antonelli, Michela S; Murray, Benjamin; Klaser, Kerstin; Kerfoot, Eric; Chen, Liyuan; ",Illness duration and symptom profile in a large cohort of symptomatic UK school-aged children tested for SARS-CoV-2 (preprint),,,,,2021,
"Prados Carrasco, F; Yiannakas, Marios C; Cardoso, Manuel Jorge; Grussu, Francesco; De Angelis, Floriana; Plantone, Domenico; Miller, David H; Ciccarelli, Olga; Wheeler-Kingshott, CAM; Ourselin, Sebastien; ",Atrophy computation in the spinal cord using the Boundary Shift Integral,,,,,2016,International Society for Magnetic Resonance in Medicine (ISMRM)
